Date,Country,City,Specie,count,min,max,median,variance
27-01-2020,IN,Delhi,no2,842,0.7,104.4,28.6,3908.41
19-02-2020,IN,Delhi,no2,818,1.6,101.2,24.2,2432.75
02-03-2020,IN,Delhi,no2,835,0.4,78.1,21.9,1914.94
17-06-2020,IN,Delhi,no2,910,0.1,110.6,6.4,2090.82
23-06-2020,IN,Delhi,no2,860,0.3,45.9,6.1,272.96
27-04-2020,IN,Delhi,no2,859,0.4,37.2,5.4,293.27
10-02-2020,IN,Delhi,no2,866,2.1,94.9,23.8,3132.9
13-03-2020,IN,Delhi,no2,837,2.4,61.6,17.6,970.26
02-04-2020,IN,Delhi,no2,868,0.1,41.3,5.6,362.05
09-04-2020,IN,Delhi,no2,874,0.1,53.3,6.7,531.93
19-04-2020,IN,Delhi,no2,781,0.2,129.4,6.8,852.18
11-05-2020,IN,Delhi,no2,787,1.5,168.9,7.8,818.27
21-05-2020,IN,Delhi,no2,905,0.5,100.2,11.1,1534.9
28-01-2020,IN,Delhi,no2,865,1.8,90.2,18.7,1491.63
15-02-2020,IN,Delhi,no2,848,1.6,99.4,18.3,1901.08
24-03-2020,IN,Delhi,no2,841,0.9,42.6,11,478.65
17-04-2020,IN,Delhi,no2,816,0.2,35,6,268.1
24-05-2020,IN,Delhi,no2,887,0.2,44.7,10.7,569.58
08-06-2020,IN,Delhi,no2,880,1.6,64.5,9.6,576.95
23-02-2020,IN,Delhi,no2,782,1.6,60.6,18.1,961.81
27-02-2020,IN,Delhi,no2,854,0.1,55.4,20.5,1054.76
12-04-2020,IN,Delhi,no2,871,0.4,112.4,6.4,725.9
05-05-2020,IN,Delhi,no2,785,0.1,52,8.2,473.25
30-05-2020,IN,Delhi,no2,913,0.8,32.7,7,248.36
26-01-2020,IN,Delhi,no2,850,0.9,96.6,20.8,2937.28
16-02-2020,IN,Delhi,no2,863,1.8,89.6,23,2903.49
04-03-2020,IN,Delhi,no2,858,0.3,60.2,18.3,1177.93
23-03-2020,IN,Delhi,no2,831,0.1,50.1,10.2,619.58
13-05-2020,IN,Delhi,no2,840,1.1,48.3,8.1,490.15
29-05-2020,IN,Delhi,no2,849,0.3,156.9,7.2,749.47
07-06-2020,IN,Delhi,no2,906,0.5,101.5,8.9,512.86
12-01-2020,IN,Delhi,no2,850,2.4,102.7,24.1,4151.48
03-03-2020,IN,Delhi,no2,266,0.3,63.8,28.4,1626.84
18-03-2020,IN,Delhi,no2,850,0.4,143.9,18,1726.25
09-05-2020,IN,Delhi,no2,830,0.6,108.5,6.6,348.73
21-01-2020,IN,Delhi,no2,787,0.1,82,19.4,2119.75
27-05-2020,IN,Delhi,no2,933,1.7,58.8,10.3,748.11
24-06-2020,IN,Delhi,no2,891,0.6,110.7,6.7,412.36
29-06-2020,IN,Delhi,no2,829,0.1,113.1,7.8,512.68
13-07-2020,IN,Delhi,no2,815,0.2,39.8,8.1,319.8
08-02-2020,IN,Delhi,no2,867,0.1,89.9,21,1913.02
14-03-2020,IN,Delhi,no2,851,2.6,54.1,13.5,806.19
17-03-2020,IN,Delhi,no2,830,0.7,68.4,17.6,1562.05
18-04-2020,IN,Delhi,no2,822,0.3,71.3,5.9,323.11
12-06-2020,IN,Delhi,no2,906,1.3,83,9.6,989.31
20-06-2020,IN,Delhi,no2,906,0.1,143.9,8,643.26
13-02-2020,IN,Delhi,no2,879,1.9,80.2,17.1,1245.55
22-02-2020,IN,Delhi,no2,788,1.4,78.8,16.6,1720.02
21-04-2020,IN,Delhi,no2,833,0.1,52.5,7.2,480.1
23-05-2020,IN,Delhi,no2,861,0.4,76.5,13.9,1527.93
28-02-2020,IN,Delhi,no2,867,0.2,37.7,15.8,527.78
07-07-2020,IN,Delhi,no2,947,0.1,136.8,5.7,838.23
02-01-2020,IN,Delhi,no2,893,0.1,115.1,21,4492.76
29-01-2020,IN,Delhi,no2,867,1.2,89.9,17.3,1892.82
30-01-2020,IN,Delhi,no2,880,1.5,85.9,18.9,1861.92
14-02-2020,IN,Delhi,no2,848,1.6,172,13.9,1589.89
19-03-2020,IN,Delhi,no2,871,0.2,72.6,20.2,1343.14
02-06-2020,IN,Delhi,no2,900,0.9,173,8.5,1037.26
12-07-2020,IN,Delhi,no2,821,0.5,38.4,6.7,163.85
18-02-2020,IN,Delhi,no2,842,1.6,92.9,25.5,3117.48
06-04-2020,IN,Delhi,no2,878,0.1,52,7.2,585.06
26-02-2020,IN,Delhi,no2,834,0.3,96.4,21.9,2008.19
01-04-2020,IN,Delhi,no2,839,0.1,71.3,6.2,539.44
04-04-2020,IN,Delhi,no2,888,0.1,46.3,7.1,640.01
06-05-2020,IN,Delhi,no2,828,0.9,133.9,8.2,603.38
01-01-2020,IN,Delhi,no2,881,0.1,102.7,21.1,4069.31
07-01-2020,IN,Delhi,no2,869,2.2,96.5,18.8,2083.65
22-01-2020,IN,Delhi,no2,839,2.2,173,18.2,2206.56
17-02-2020,IN,Delhi,no2,849,1.5,91.7,25,2829.48
08-05-2020,IN,Delhi,no2,787,0.8,52.1,7.6,318.27
05-06-2020,IN,Delhi,no2,926,0.2,116.2,9.4,814.08
22-06-2020,IN,Delhi,no2,862,0.1,131.1,8,663.13
30-06-2020,IN,Delhi,no2,777,0.1,43.2,7,289.53
