Date,Country,City,Specie,count,min,max,median,variance
30-12-2019,IN,Hāpur,co,91,0.1,45,15.6,641.28
02-03-2020,IN,Hāpur,co,82,2.4,24.2,10.3,253.51
29-06-2020,IN,Hāpur,co,41,0.9,17.6,7.2,102.45
14-07-2020,IN,Hāpur,co,49,3.2,20,9.1,134.06
01-01-2020,IN,Hāpur,co,93,0.1,60,9.2,1501.19
10-02-2020,IN,Hāpur,co,95,0.2,86,11.4,846.36
24-02-2020,IN,Hāpur,co,79,0.1,16.4,9,147.36
22-03-2020,IN,Hāpur,co,53,1.9,42.5,11,856.09
15-04-2020,IN,Hāpur,co,70,2.9,36.6,12.7,465.08
08-01-2020,IN,Hāpur,co,85,0.1,36.3,6.8,270.92
01-02-2020,IN,Hāpur,co,95,0.1,20.2,9.4,147.91
26-03-2020,IN,Hāpur,co,53,5.7,65.3,12.2,993.38
26-06-2020,IN,Hāpur,co,49,2.7,28.6,10.8,188.34
16-05-2020,IN,Hāpur,co,51,5.5,34.4,10.9,184.38
02-06-2020,IN,Hāpur,co,48,0.7,28.4,8.9,161.87
21-06-2020,IN,Hāpur,co,47,0.3,16.7,8.5,125.02
07-01-2020,IN,Hāpur,co,93,0.1,27.1,7.2,188.76
29-01-2020,IN,Hāpur,co,91,0.1,85.5,8.7,1059.15
02-02-2020,IN,Hāpur,co,60,0.1,19.4,9.7,166.62
13-04-2020,IN,Hāpur,co,66,2.1,46.2,13.3,617.24
13-05-2020,IN,Hāpur,co,48,5,15.7,9.7,79.09
12-07-2020,IN,Hāpur,co,45,0.3,37.2,8.2,519.41
15-01-2020,IN,Hāpur,co,71,0.1,21.2,8.6,178.31
01-03-2020,IN,Hāpur,co,70,1.9,31.9,7.4,396.04
04-04-2020,IN,Hāpur,co,67,0.1,29.6,11.1,369.29
03-05-2020,IN,Hāpur,co,47,4.5,12.2,8.7,34.56
03-06-2020,IN,Hāpur,co,48,2.8,17.5,10.8,80.18
23-05-2020,IN,Hāpur,co,53,0.6,30.6,15.5,289.49
08-06-2020,IN,Hāpur,co,49,0.8,14.7,10.5,81.68
30-06-2020,IN,Hāpur,co,31,4.2,11.3,9.7,25.84
25-02-2020,IN,Hāpur,co,89,0.2,43.8,10.8,484.13
19-03-2020,IN,Hāpur,co,58,2,29.3,12.5,364.62
01-04-2020,IN,Hāpur,co,67,1.5,32,9,242.69
05-05-2020,IN,Hāpur,co,61,3.3,34.4,11.1,237.02
10-05-2020,IN,Hāpur,co,48,0.2,14.1,10.3,81.06
03-07-2020,IN,Hāpur,co,59,0.1,30,9.2,378.89
14-01-2020,IN,Hāpur,co,70,0.1,26.5,9.9,344
14-03-2020,IN,Hāpur,co,60,2.1,17.6,9.1,108.81
11-04-2020,IN,Hāpur,co,67,2,39.9,13.3,494.37
06-05-2020,IN,Hāpur,co,69,2,39.9,9.9,612.95
25-05-2020,IN,Hāpur,co,56,2.9,26.3,10.5,185.67
29-05-2020,IN,Hāpur,co,47,2.3,11.1,9.2,51.11
04-01-2020,IN,Hāpur,co,92,0.1,23.2,7.6,265.74
06-02-2020,IN,Hāpur,co,81,0.1,86.4,9.4,858.47
11-03-2020,IN,Hāpur,co,57,1.5,45.8,10.2,623.93
06-04-2020,IN,Hāpur,co,62,3.8,30.3,12.5,321.18
14-04-2020,IN,Hāpur,co,68,0.2,26.7,14.7,277.26
09-01-2020,IN,Hāpur,co,84,0.1,84,5.4,797.32
09-05-2020,IN,Hāpur,co,47,1.8,13.9,10.5,62.14
23-06-2020,IN,Hāpur,co,50,1.8,20.5,7.4,146.64
08-05-2020,IN,Hāpur,co,47,2.2,17.7,11.6,111.83
24-06-2020,IN,Hāpur,co,48,2.8,22.7,9.9,77.4
11-02-2020,IN,Hāpur,co,95,0.1,31,10.1,402.13
29-02-2020,IN,Hāpur,co,88,0.1,25,8.3,165.31
05-03-2020,IN,Hāpur,co,70,1.4,17.2,7.3,80.93
20-03-2020,IN,Hāpur,co,53,0.2,27.9,13.1,295.38
04-05-2020,IN,Hāpur,co,47,7,21.1,9.7,62.79
13-06-2020,IN,Hāpur,co,62,4.4,46.9,10.9,377.49
07-07-2020,IN,Hāpur,co,46,1.4,18.8,8,68.44
31-12-2019,IN,Hāpur,co,91,0.1,64.8,9.4,1972.61
12-02-2020,IN,Hāpur,co,94,0.1,85.5,10.6,919.5
09-04-2020,IN,Hāpur,co,70,1,25.6,10.4,234.96
06-06-2020,IN,Hāpur,co,49,2.9,15.3,10.8,121.79
12-06-2020,IN,Hāpur,co,75,0.5,47.1,11.3,306.3
17-04-2020,IN,Hāpur,co,69,4.8,35.2,10.5,474.24
02-05-2020,IN,Hāpur,co,47,3.9,15.7,7.9,100.36
30-05-2020,IN,Hāpur,co,45,0.3,14.2,8.1,101.84
03-01-2020,IN,Hāpur,co,93,0.1,31.8,8.8,452.62
13-01-2020,IN,Hāpur,co,72,0.1,49.1,10.2,849.13
21-01-2020,IN,Hāpur,co,94,0.1,40.9,11.7,491.02
